trial_id,case,expected,observed,pass,expected_pulses,matched_pulses,missed_pulses,split_pulses,merged_groups,extra_output_pulses,detection_ratio,acquisition_limited_events,fs,source_width_s,latency_min_s,latency_max_s,minimum_valid_width_s,source_amplitude,output_noise,first_event_class,first_event_confidence,first_event_peak,estimated_tau_s,estimated_cutoff_hz
515,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1250000.0,0.00028199870289991437,0.0002152603254790801,0.0030880461219447188,0.00011279948115996575,23.312362300262947,0.0954013543647807,pulse merging,high,23.609796877248467,,
516,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.00022864135926375307,0.00010759585857584143,0.002914006706350477,9.145654370550123e-05,20.539352331989832,0.05153298300576142,pulse merging,high,20.699737403344265,,
517,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.00020563976449395707,0.00023883756629787886,0.0026545361190646703,8.225590579758283e-05,23.91484905060601,0.035966908107787826,pulse merging,high,24.036742337847237,,
518,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.0002584086100493396,8.244379015224817e-05,0.0020966229665923242,0.00010336344401973585,22.659766878969016,0.06255052456021401,pulse merging,high,22.835584902559695,,
519,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,400000.0,0.00023915464922478677,0.00010186384133558534,0.0028519065205979658,9.566185968991472e-05,27.46995104596425,0.1167006746166899,pulse merging,high,27.792159014923506,,
520,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,800000.0,0.00019563361846121943,8.642022171872833e-05,0.0020449021419729043,7.825344738448777e-05,22.68730061946823,0.08765353238759192,pulse merging,high,23.00176677832211,,
521,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,1000000.0,0.0002112954639740089,0.00022316691825091932,0.0032450419527896342,8.451818558960356e-05,25.74615234542624,0.07236229173149614,pulse merging,high,26.035846168192805,,
522,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.0001899392372242498,0.00014096588033385502,0.003321863005207679,7.597569488969992e-05,25.071283712502076,0.11851755372016223,pulse merging,high,25.390697056001137,,
523,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,500000.0,0.00023192224862104519,0.0001309686454135492,0.0023799881304024835,9.276889944841808e-05,24.02782296214856,0.04607699546232913,pulse merging,high,24.14627730845179,,
524,merge,pulse merging,pulse merging,True,2,2,0,0,1,0,1.0,0,625000.0,0.0002469271570358799,0.00010805865087672654,0.0030555528900073773,9.877086281435195e-05,23.2712851265046,0.09032989423791338,pulse merging,high,23.52625724003351,,
