capture_index,frequency_hz,amplitude,phase_rad,prominence,local_floor
9,310.0,0.03670733744127326,1.8430533168973888,0.03672856656764705,0.0007943403138447018
10,60.0,0.08875558468825921,2.4084806427373513,0.08840344498798729,0.0009880181931742203
10,310.0,0.033118241245020094,1.8823512249964673,0.033205656930642015,0.0007554659412317154
11,60.0,0.054667088448809166,0.3899076859285218,0.054841002091815166,0.0005182549580556169
11,310.0,0.03147887853222695,1.8868993490460104,0.03128215389035054,0.0007285837089144288
12,60.0,0.09088317299295345,2.617966274293302,0.09086154204531305,0.0005914825145196934
12,310.0,0.02879069854668927,1.8581629938788609,0.028811356695866517,0.0006057522639461919
12,370.0,0.0016405178453096998,-1.2734489184823352,0.001792701635963506,0.00040291683021434575
13,60.0,0.05429302551299756,0.43891039456205844,0.05419511378112561,0.0006106455525761978
13,310.0,0.026193960475293054,1.8820819184381277,0.025999526745109292,0.000815071660740517
14,60.0,0.05027298664923367,-0.07095326836637643,0.05022090145046138,0.0006139976719970625
14,180.0,0.0029227328173546405,-1.7117763521449048,0.0028534818165021044,0.000626279200473585
14,310.0,0.02344239877632673,1.887970373570432,0.02350028399736738,0.0005259225401130626
14,680.0,0.0027826362759807103,3.01635358915527,0.002748495215863692,0.0006405864426257974
15,60.0,0.049169822427283266,-0.36202473784926625,0.048990251464122496,0.0007766527942382607
15,310.0,0.021081176283578463,1.853225362608507,0.020929601313078104,0.0007422510843743945
16,60.0,0.05020248384102132,-0.10246639833245694,0.050145063076446325,0.0007014933909445192
16,310.0,0.018012991170113974,1.8505950920102858,0.017975806872261368,0.0006866450538505554
16,560.0,0.0023394243270300047,-2.1702165603514123,0.002354696751230894,0.0005647505252318502
17,60.0,0.08909047735530465,3.1149105574218936,0.08893896915014883,0.0007845708504985577
17,180.0,0.0021612334086151407,-1.229670598433418,0.0023047676129879695,0.0005182766708641546
17,310.0,0.016092805934339222,1.8883296733452721,0.01623601999769041,0.000572045984928027
18,60.0,0.04896428999395258,-0.6013370082676945,0.04876430839718011,0.0006762065137631546
18,310.0,0.014244030567869184,1.9172491959526847,0.014250526206198287,0.000667904657115332
