Family,Consensus RMSE vs truth,Collective exp-fit RMSE vs truth,Single-capture exp-fit RMSE vs truth,Collective boundary MAE (samples),Single boundary MAE (samples),Collective pole log-MAE,Single pole log-MAE,Alignment lag MAE (samples),Median pointwise spread
82,0.009153767878155084,0.006584596025063387,0.07422624654868396,1.2,4.2,0.6244753665230696,1.194925739375354,0.22,0.04844551062689462
83,0.008096582980428913,0.007215688747907861,0.04473526446831258,1.0,2.4,0.325999415729118,1.043005543337262,0.27,0.047702873782472795
84,0.009789921645042596,0.010504708567504024,0.0343318772997272,14.4,16.0,1.3270542235467382,1.7809683720116212,0.64,0.04352798600036887
85,0.007719600961107383,0.006000494633032407,0.023101534208563104,2.2,3.4,0.43958010867751196,0.30407285313637067,0.29,0.04464833928521967
86,0.006665482102521649,0.005812793002527622,0.012103944339400602,1.2,6.8,0.3075356337181561,0.47989495392091813,0.49,0.045413193779365084
87,0.006869571905669301,0.005259990176203806,0.05072092545098571,32.2,32.2,0.7406325763036671,0.7153103353965472,0.12,0.04663499437008469
88,0.009943396600642695,0.011286867801452398,0.03138069856446339,9.2,6.2,0.5156518133814941,1.5296068648882801,0.97,0.045039021538264654
89,0.011873760231105921,0.011347340235126997,0.032231370095557564,3.8,9.8,0.638166135325614,1.3586458954392617,1.1,0.04486731562989564
90,0.005560984506172033,0.0033572702457814055,0.03464442682081357,1.2,3.4,0.26213564668076234,0.9698701410180933,0.35,0.046435234847750875
91,0.008487923591693721,0.0069066970634356056,0.027352947456338688,2.2,7.6,0.47983778020836376,0.8719061302955806,1.03,0.04799033765680433
92,0.00914955383671736,0.00788209054157369,0.04438237522431321,20.8,13.4,0.4662907402516628,1.7657002510931017,0.65,0.04345209343681479
93,0.011335778173595445,0.010706122761807166,0.040027558132684944,2.2,14.0,0.5612106508690329,1.0295721482136508,0.6,0.046104313049895096
94,0.007287237453023528,0.00579850286335214,0.0209865295585457,3.2,16.2,1.0062658313047492,1.4570282997530768,0.97,0.04431984512514811
95,0.01270922816094506,0.011770523682723301,0.043326731049604814,3.4,5.8,0.4598955980891208,1.427409282748444,1.58,0.04550076199140018
96,0.0062538816173917065,0.00427479511147535,0.02873486414727109,2.2,2.6,0.2536898521739199,1.3474284243383874,0.83,0.04382961459150488
97,0.009362550005936308,0.009133225824317888,0.03899590585955794,2.0,2.8,0.16633768214688938,0.6717912347880538,0.44,0.04575912032803424
98,0.011466991588360679,0.010535592465877078,0.04328025101116336,2.0,11.0,0.49294275147251415,1.6645355712377998,1.97,0.045225152423764584
99,0.011830005630042563,0.011272150103804135,0.06230067908662446,1.8,8.4,0.6457551267279283,1.0388736498451274,1.16,0.04695349361643868
