Family,Region,True pole,Collective fitted pole,Single fitted pole,True start,Collective fitted start,Single fitted start
24,4,-13.019439624158592,-12.357012909144409,-12.357012909144409,94,93,93
24,5,-4.00647222221143,-13.425746889173139,-12.357012909144409,145,147,147
24,6,-25.369272838011327,-26.06982374322739,-23.99457931044167,177,183,183
25,1,-13.672075989261181,-13.425746889173139,-14.586913589671289,0,0,0
25,2,-6.269026985489545,-6.363761000398675,-0.8,35,36,36
25,3,-7.614735767439928,-8.86775489245368,-1.3159509947289614,77,78,57
25,4,-4.466032701867606,-1.6877751239661007,-0.8,103,102,102
25,5,-3.5482123709193507,-3.560731086348484,-4.961797042613721,137,138,135
25,6,-9.148684430238642,-6.9141502952803435,-11.373353698474634,191,189,192
26,1,-8.162187661439988,-7.512141688339704,-50.621817587743905,0,0,0
26,2,-2.100731919992322,-0.8,-0.8,52,36,21
26,3,-10.887626744693222,-11.373353698474634,-3.868691783137035,88,90,75
26,4,-7.9616407339081015,-11.373353698474634,-20.326529287084,128,147,126
26,5,-19.686601578864877,-13.425746889173139,-0.8,176,186,174
26,6,-20.934591658353995,-6.9141502952803435,-0.8,206,216,195
27,1,-31.334681124790592,-30.774287365112826,-33.435895543406936,0,0,0
27,2,-4.135193055114382,-0.8,-0.8,45,54,39
27,3,-9.859831371756313,-6.9141502952803435,-0.8,70,96,90
27,4,-6.219398582598446,-4.566821541792708,-1.429765033320657,95,126,111
27,5,-27.476017893960574,-26.06982374322739,-6.363761000398675,174,174,165
27,6,-17.086332097445666,-20.326529287084,-11.373353698474634,202,204,198
28,1,-5.299661791197905,-0.8,-4.961797042613721,0,0,0
28,2,-3.481806377751791,-17.219213869646232,-6.363761000398675,44,24,39
28,3,-2.565792201279855,-5.390933205247584,-20.326529287084,75,45,93
28,4,-2.9869245275331444,-4.961797042613721,-55.0,106,93,150
28,5,-2.6209009233222815,-1.833747507331901,-0.8,131,138,183
28,6,-3.4172140036697805,-3.2772850824025843,-11.373353698474634,178,183,204
29,1,-8.58167363592008,-8.86775489245368,-12.357012909144409,0,0,0
29,2,-4.57829425339161,-4.203287400807451,-17.219213869646232,52,54,36
29,3,-31.390719853652165,-26.06982374322739,-30.774287365112826,78,78,78
29,4,-6.7353136738201345,-26.06982374322739,-0.8,121,99,111
29,5,-5.23094169114181,-46.592153016123966,-0.8,147,141,141
29,6,-12.881442492564803,-55.0,-55.0,186,198,189
30,1,-3.101746072606461,-3.2772850824025843,-7.512141688339704,0,0,0
30,2,-32.879691142663596,-28.32455202526461,-30.774287365112826,43,42,45
30,3,-2.993831311150632,-0.8,-50.621817587743905,83,84,84
