label,command_time_s,current_onset_s,motion_onset_s,analog_threshold_time_s,digital_output_time_s,command_to_current_s,current_to_motion_s,actuation_delay_s,actuator_response_time_s,sensor_decision_delay_s,total_chain_latency_s,Case,command_to_current_ms,current_to_motion_ms,actuation_delay_ms,actuator_response_time_ms,sensor_decision_delay_ms,total_chain_latency_ms,actuation_z,travel_z,decision_z,total_z
m4_t_05,0.019980032562462873,0.02136,0.023860000000000003,0.056212810144737745,0.056868641578887894,0.0013799674375371274,0.0025000000000000022,0.0038799674375371296,0.032352810144737745,0.0006558314341501489,0.03688860901642502,Mechanical travel delay,1.3799674375371274,2.500000000000002,3.87996743753713,32.352810144737745,0.655831434150149,36.888609016425015,9.217410333862249,1161.0507081114051,-0.19010340368317377,258.27021655218476
m4_t_06,0.020000028801912727,0.02136,0.02382,0.056214491078543684,0.056839781255008257,0.0013599711980872738,0.0024600000000000004,0.003819971198087274,0.03239449107854368,0.0006252901764645727,0.03683975245309553,Mechanical travel delay,1.3599711980872737,2.4600000000000004,3.8199711980872744,32.39449107854368,0.6252901764645726,36.83975245309553,7.8685560690674645,1163.5419679997296,-0.9581961262582692,257.63297686698337
m4_t_07,0.020020018164644857,0.02136,0.023840000000000004,0.056114558873458564,0.056861598665574116,0.0013399818353551432,0.002480000000000003,0.0038199818353551462,0.032274558873458564,0.0007470397921155517,0.036841580500929255,Mechanical travel delay,1.3399818353551431,2.480000000000003,3.8199818353551462,32.27455887345857,0.7470397921155516,36.841580500929254,7.868795219458666,1156.3736475096473,2.1037273452822074,257.6568202269479
m4_t_08,0.019960007147521962,0.021400000000000002,0.023940000000000003,0.05619259345912666,0.05698114565645702,0.0014399928524780406,0.0025400000000000006,0.003979992852478041,0.032252593459126656,0.0007885521973303583,0.037021138508935056,Mechanical travel delay,1.4399928524780405,2.5400000000000005,3.9799928524780412,32.25259345912666,0.7885521973303583,37.02113850893505,11.4662130716352,1155.060779714739,3.1477372767114544,259.9988082977289
m4_t_09,0.020020041448689567,0.021460000000000003,0.02392,0.05623424169310211,0.056955295587789924,0.0014399585513104364,0.002459999999999997,0.0038999585513104333,0.03231424169310211,0.0007210538946878162,0.03693525413910036,Mechanical travel delay,1.4399585513104365,2.459999999999997,3.899958551310433,32.31424169310211,0.7210538946878162,36.93525413910036,9.666856821148436,1158.7454805711106,1.450198963795388,258.8786122571663
m4_t_10,0.019980025504460448,0.021400000000000002,0.023960000000000002,0.05625692693646241,0.05697913036650488,0.0014199744955395548,0.0025599999999999998,0.0039799744955395545,0.03229692693646241,0.0007222034300424646,0.03699910486204443,Mechanical travel delay,1.4199744955395548,2.5599999999999996,3.9799744955395546,32.29692693646241,0.7222034300424646,36.999104862044426,11.465800365189041,1157.7105815236607,1.4791090286440012,259.7114218494899
m4_t_11,0.02004001909370453,0.02144,0.0239,0.05629622786586196,0.057027080556900214,0.0013999809062954713,0.0024600000000000004,0.0038599809062954717,0.032396227865861965,0.0007308526910382515,0.036987061463195685,Mechanical travel delay,1.3999809062954713,2.4600000000000004,3.8599809062954717,32.39622786586197,0.7308526910382516,36.98706146319569,8.768066872489197,1163.645775380839,1.6966323046960572,259.5543389282175
m4_d_00,0.02002002640302921,0.021380000000000003,0.02346,0.03640545139617797,0.04441283431507329,0.0013599735969707927,0.0020799999999999985,0.003439973596970791,0.012945451396177969,0.008007382918895321,0.02439280791204408,Sensor decision delay,1.3599735969707927,2.0799999999999983,3.439973596970791,12.945451396177969,8.00738291889532,24.39280791204408,-0.6746691326745798,1.0773108329445684,184.69662435329667,95.28657997516075
m4_d_01,0.019980055440217696,0.021400000000000002,0.02346,0.03639296420157738,0.04440056854045973,0.0014199445597823067,0.0020599999999999993,0.003479944559782306,0.012932964201577378,0.008007604338882347,0.02442051310024203,Sensor decision delay,1.4199445597823066,2.059999999999999,3.479944559782306,12.932964201577377,8.007604338882347,24.420513100242033,0.22397058459182284,0.33095406533960814,184.7021929216385,95.6479407464177
m4_d_02,0.019960029243378107,0.02144,0.023540000000000002,0.03643886175400801,0.04440943249836927,0.0014799707566218942,0.002100000000000001,0.0035799707566218954,0.01289886175400801,0.007970570744361256,0.02444940325499116,Sensor decision delay,1.4799707566218943,2.100000000000001,3.5799707566218952,12.89886175400801,7.970570744361257,24.44940325499116,2.4727909012559826,-1.707341432520765,183.77082215965837,96.0247571220109
