case,repeat,true_swell,detected_swell,status,classification,confidence,selected_window_samples,event_count,duration_s,max_excess,excess_area_s,equivalent_duration_s,median_correlation,median_rms_ratio,unknown_residual_energy
distorted_swell,31,True,True,distorted_swell_supported,distorted_swell_supported,0.9072064921997653,81,1,0.554,0.5287002989531906,0.22728426182138445,0.42989244052140674,0.9889782667280782,1.4187894634259806,11.874518772094609
distorted_swell,32,True,True,distorted_swell_supported,distorted_swell_supported,0.9004628725145848,81,1,0.557,0.40282250169629674,0.16667375038483578,0.4137647467134234,0.9886792940911435,1.3077916166297456,9.91428477690406
distorted_swell,33,True,True,distorted_swell_supported,distorted_swell_supported,0.9170027932757302,81,1,0.368,0.44131071091713214,0.12134036663526511,0.27495450174570996,0.9891676738030848,1.3508538669459216,11.531547920261279
distorted_swell,34,True,True,distorted_swell_supported,distorted_swell_supported,0.9368149227116097,81,1,0.502,0.38526396701787835,0.14152818105429066,0.3673537968001118,0.9875102495559767,1.3191937171164687,10.45924177323867
distorted_swell,35,True,True,distorted_swell_supported,distorted_swell_supported,0.922906106453206,81,1,0.5660000000000001,0.39857186129664757,0.1746721166614348,0.4382449781908475,0.9874214908071288,1.3276617536157822,11.548152919102204
distorted_swell,36,True,True,distorted_swell_supported,distorted_swell_supported,0.9421342161143984,81,1,0.537,0.37322203995849834,0.15469785087946883,0.4144928067395778,0.9878640936011746,1.314686978023399,10.567674343519734
distorted_swell,37,True,True,distorted_swell_supported,distorted_swell_supported,0.9066931663343031,81,1,0.393,0.4008417107552804,0.12465436893077589,0.310981531078434,0.9885485641766514,1.3108762588012768,10.57108497008204
distorted_swell,38,True,True,distorted_swell_supported,distorted_swell_supported,0.9248103940598188,81,1,0.622,0.4316462755686674,0.21275638405631092,0.49289521559294697,0.9882012374842857,1.359034040672813,11.704671439310642
distorted_swell,39,True,True,distorted_swell_supported,distorted_swell_supported,0.940783076768298,81,1,0.457,0.4270801276031956,0.13670059168578624,0.32008183675733126,0.9883310194108477,1.3104146913847543,10.752526203849659
distorted_swell,40,True,True,distorted_swell_supported,distorted_swell_supported,0.9108080538984878,81,1,0.549,0.3317565990432707,0.14470261415521918,0.4361710198757667,0.9884245397641402,1.2742752120607737,10.889892889465015
distorted_swell,41,True,True,distorted_swell_supported,distorted_swell_supported,0.9040142145454957,81,1,0.595,0.3957587759968696,0.1930255524256536,0.48773536844368154,0.9877234693244031,1.3228287839621005,11.620711809731414
distorted_swell,42,True,True,distorted_swell_supported,distorted_swell_supported,0.8469992417125684,81,1,0.452,0.3103051177520316,0.11485232484157376,0.37012707258458294,0.9879477094511566,1.2412856560925816,11.589474583681437
distorted_swell,43,True,True,distorted_swell_supported,distorted_swell_supported,0.8927543207161912,81,1,0.425,0.2983649705929662,0.0992741213893293,0.3327271334568309,0.9871911450796135,1.249947145513252,11.190998461532963
distorted_swell,44,True,True,distorted_swell_supported,distorted_swell_supported,0.9718694390477454,81,1,0.612,0.5720020815187662,0.26359231102103586,0.4608240416208834,0.9894389052028085,1.4484600004919783,12.005304417713596
distorted_swell,45,True,True,distorted_swell_supported,distorted_swell_supported,0.9065236542565085,81,1,0.53,0.4723223954999882,0.18984016606920168,0.40192920741825466,0.9892165148034511,1.3984179494804525,10.158646059017533
distorted_swell,46,True,True,distorted_swell_supported,distorted_swell_supported,0.8969860163660053,81,1,0.646,0.500869225653101,0.25914488721236256,0.5173903165530971,0.9893709136318672,1.3841160452158847,11.465501557705414
distorted_swell,47,True,True,distorted_swell_supported,distorted_swell_supported,0.9584517102411266,81,1,0.457,0.4966525204743699,0.16211053767476105,0.32640635251367234,0.9896113430590855,1.385395966026671,10.26294298584494
distorted_swell,48,True,True,distorted_swell_supported,distorted_swell_supported,0.8953350173746873,81,1,0.5660000000000001,0.396511713680854,0.1839737357627115,0.46398058219987176,0.9883343281499656,1.3119495417115425,11.37852167109464
distorted_swell,49,True,True,distorted_swell_supported,distorted_swell_supported,0.8572588737780721,81,1,0.542,0.36175920162764696,0.1521190304719661,0.4204980268298464,0.9870100480449646,1.2673418663068412,11.48538765502866
distorted_swell,50,True,True,distorted_swell_supported,distorted_swell_supported,0.9144078775530181,81,1,0.637,0.4704749420176668,0.2313529948574911,0.4917435004408876,0.9884054262926943,1.3794644494095716,11.623668521918654
distorted_swell,51,True,True,distorted_swell_supported,distorted_swell_supported,0.9537359609490391,81,1,0.384,0.4592009455272066,0.13821293856280045,0.30098574471382844,0.9891422896693529,1.3707957037182692,11.519001409661087
distorted_swell,52,True,True,distorted_swell_supported,distorted_swell_supported,0.9168066189160705,81,1,0.489,0.5353908819545554,0.20048810288994845,0.3744705217205513,0.9897350512171358,1.4097778730592234,11.474741259730639
distorted_swell,53,True,True,distorted_swell_supported,distorted_swell_supported,0.8964686782189701,81,1,0.624,0.30695772997891213,0.14963113415622753,0.487464948892172,0.9866847200732531,1.2509127426327544,11.718159555968786
distorted_swell,54,True,False,ambiguous,ambiguous_high_magnitude_event,0.3514346957096346,241,1,1.441,0.3507338084271725,0.18752749896751292,0.5346718635664452,0.9994505749728488,1.0559751774268984,4.206219701087564
