case,repeat,true_interruption,detected_interruption,status,selected_window_samples,confidence,true_retained_pu,duration_s,minimum_retained_rms_pu,median_retained_rms_pu,subtype
momentary_interruption,10,True,True,momentary_interruption,17,0.45344411334859397,0.056052705973154836,0.8922222222222222,0.04571899102226981,0.05465558866514061,momentary_interruption
momentary_interruption,11,True,True,momentary_interruption,9,0.7560942356334117,0.022644149822765098,2.35,0.00677102312668239,0.02439057643665883,momentary_interruption
momentary_interruption,12,True,True,momentary_interruption,9,0.7695646089026733,0.022956788227831804,0.9477777777777778,0.009663305214613518,0.023043539109732662,momentary_interruption
momentary_interruption,13,True,True,momentary_interruption,9,0.7443277257001955,0.025457503842442147,2.4322222222222223,0.0051104584779540895,0.025567227429980452,momentary_interruption
momentary_interruption,14,True,True,momentary_interruption,9,0.43269992107559246,0.055161490792955285,0.6533333333333333,0.03724583206483504,0.05673000789244076,momentary_interruption
momentary_interruption,15,True,True,momentary_interruption,9,0.5997385866545448,0.039489783606368116,2.1755555555555555,0.014203060890650338,0.04002614133454552,momentary_interruption
momentary_interruption,16,True,True,momentary_interruption,9,0.5464345889203708,0.04528949435316655,1.0522222222222222,0.02741981633693211,0.045356541107962924,momentary_interruption
momentary_interruption,17,True,True,momentary_interruption,9,0.8857038231505461,0.0072763246718032006,2.36,0.0022653349260377247,0.011429617684945399,momentary_interruption
momentary_interruption,18,True,True,momentary_interruption,9,0.3895008123806898,0.06175719103320607,2.071111111111111,0.031722878337576164,0.06104991876193103,momentary_interruption
momentary_interruption,19,True,True,momentary_interruption,9,0.48155151402874713,0.05217635955021028,2.57,0.0314542877244298,0.05184484859712529,momentary_interruption
momentary_interruption,20,True,True,momentary_interruption,9,0.8294369077198662,0.0064314544242754365,1.5377777777777777,0.00489432208214947,0.01705630922801338,momentary_interruption
momentary_interruption,21,True,True,momentary_interruption,9,0.7887726854496258,0.018816349026061396,1.5922222222222222,0.004528756825998461,0.02112273145503743,momentary_interruption
momentary_interruption,22,True,True,momentary_interruption,9,0.5115508749350103,0.048600067761511184,2.171111111111111,0.025010022395378997,0.04884491250649897,momentary_interruption
momentary_interruption,23,True,True,momentary_interruption,9,0.7433777956771039,0.024016662749722483,2.4433333333333334,0.008260633643273316,0.025662220432289613,momentary_interruption
momentary_interruption,24,True,True,momentary_interruption,9,0.9080635120082903,0.0063474703086034145,2.3,0.0018851290078551622,0.009193648799170983,momentary_interruption
momentary_interruption,25,True,True,momentary_interruption,9,0.8698542977368686,0.013059293371674077,2.4477777777777776,0.005029265811347074,0.013014570226313131,momentary_interruption
momentary_interruption,26,True,True,momentary_interruption,9,0.7970031206981513,0.01848822045760672,2.3544444444444443,0.0045874219484431725,0.02029968793018487,momentary_interruption
momentary_interruption,27,True,True,momentary_interruption,9,0.3197009537785106,0.06865020331076868,1.3566666666666667,0.04973903057686283,0.06802990462214895,momentary_interruption
momentary_interruption,28,True,True,momentary_interruption,9,0.6581314298325194,0.034259477675678406,2.09,0.020331464189552267,0.034186857016748055,momentary_interruption
momentary_interruption,29,True,True,momentary_interruption,9,0.6042861338241309,0.03874942347187995,1.4366666666666668,0.016444853626126042,0.03957138661758692,momentary_interruption
temporary_interruption,0,True,True,temporary_interruption,17,0.35163048429611266,0.06611757082059624,3.7666666666666666,0.051947980009305124,0.06483695157038874,temporary_interruption
temporary_interruption,1,True,True,temporary_interruption,9,0.3034978613495587,0.06967870729684424,4.0744444444444445,0.04338378232757946,0.06965021386504414,temporary_interruption
temporary_interruption,2,True,True,temporary_interruption,9,0.7608399661447451,0.022519300925732445,5.107777777777778,0.008171012057296341,0.0239160033855255,temporary_interruption
temporary_interruption,3,True,True,temporary_interruption,9,0.4652248561391667,0.0544749255514147,3.712222222222222,0.03748526992495553,0.053477514386083336,temporary_interruption
temporary_interruption,4,True,True,temporary_interruption,9,0.8262917528205335,0.015135738626421407,3.7755555555555556,0.00457877420387117,0.017370824717946654,temporary_interruption
temporary_interruption,5,True,True,temporary_interruption,9,0.7705648062381628,0.02217555179513598,5.552222222222222,0.008686632415832505,0.022943519376183715,temporary_interruption
temporary_interruption,6,True,True,temporary_interruption,9,0.6974323837394153,0.029924677280975868,4.017777777777778,0.014648053348730896,0.030256761626058483,temporary_interruption
temporary_interruption,7,True,True,temporary_interruption,9,0.6743517723773447,0.03245212475589784,4.713333333333333,0.0123958673866654,0.032564822762265536,temporary_interruption
temporary_interruption,8,True,True,temporary_interruption,9,0.416642332236771,0.058321662954514956,5.0088888888888885,0.046144079697252115,0.058335766776322906,temporary_interruption
temporary_interruption,9,True,True,temporary_interruption,9,0.8797217545484989,0.005116499721050459,5.228888888888889,0.0017227127993911077,0.012027824545150109,temporary_interruption
temporary_interruption,10,True,True,temporary_interruption,9,0.6144052266632009,0.03926681134181689,5.086666666666667,0.014842421479494213,0.03855947733367992,temporary_interruption
temporary_interruption,11,True,True,temporary_interruption,9,0.7410059102678487,0.02605344940264942,3.8877777777777776,0.012298098150846698,0.025899408973215125,temporary_interruption
temporary_interruption,12,True,True,temporary_interruption,17,0.46332416999030074,0.054129278260660156,4.043333333333333,0.037356428874640475,0.05366758300096993,temporary_interruption
temporary_interruption,13,True,True,temporary_interruption,9,0.6852083956677171,0.03140205953358943,3.8722222222222222,0.018944503857261385,0.03147916043322829,temporary_interruption
temporary_interruption,14,True,True,temporary_interruption,9,0.7439603258414886,0.02520804411403988,5.56,0.01102324031301939,0.025603967415851143,temporary_interruption
temporary_interruption,15,True,True,temporary_interruption,9,0.6894507518838411,0.03063282307580968,4.321111111111111,0.014326180335824154,0.031054924811615894,temporary_interruption
temporary_interruption,16,True,True,temporary_interruption,9,0.35958013418990686,0.06401627386502763,4.756666666666667,0.04498993972570178,0.06404198658100932,temporary_interruption
temporary_interruption,17,True,True,temporary_interruption,9,0.8474341912410851,0.010764955191065021,3.417777777777778,0.003134954810757167,0.015256580875891494,temporary_interruption
temporary_interruption,18,True,True,temporary_interruption,9,0.5383931095727962,0.045806513584147224,5.263333333333334,0.023165575559850507,0.04616068904272039,temporary_interruption
temporary_interruption,19,True,True,temporary_interruption,9,0.4194632067771591,0.059538106785046736,3.5966666666666667,0.03806145032669429,0.05805367932228409,temporary_interruption
temporary_interruption,20,True,True,temporary_interruption,9,0.4636467308130468,0.05479252678265987,5.3933333333333335,0.03712360658859137,0.053635326918695325,temporary_interruption
temporary_interruption,21,True,True,temporary_interruption,9,0.888143816186301,0.009474786743508549,4.732222222222222,0.0025594640116901653,0.011185618381369906,temporary_interruption
temporary_interruption,22,True,True,temporary_interruption,9,0.7372793139639261,0.023442684047582717,4.082222222222223,0.004538672373392581,0.02627206860360739,temporary_interruption
temporary_interruption,23,True,True,temporary_interruption,9,0.6551479311593339,0.034611335095520446,3.851111111111111,0.014553638401227767,0.03448520688406661,temporary_interruption
temporary_interruption,24,True,True,temporary_interruption,9,0.8544841362749095,0.011841805991023326,4.748888888888889,0.0024794190825588066,0.01455158637250905,temporary_interruption
temporary_interruption,25,True,True,temporary_interruption,9,0.36934580436570386,0.06327983448811958,5.151111111111111,0.049188896329381275,0.06306541956342962,temporary_interruption
temporary_interruption,26,True,True,temporary_interruption,9,0.8024319717383929,0.01700792576384255,3.361111111111111,0.005607742876236225,0.019756802826160717,temporary_interruption
