case,repeat,true_sag,detected_sag,status,selected_window_samples,alignment_lag_samples,alignment_correlation,event_count,confidence,classification,true_start_s,true_end_s,retained_gain,detected_start_s,detected_end_s,max_depth,deficit_area_s,entry_timescale_s,recovery_timescale_s,median_correlation,median_rms_ratio,unknown_residual_energy,start_error_s,end_error_s
distorted_sag,26,True,True,distorted_sag_supported,81,-7,0.9908696936035268,1,0.7764311932615314,distorted_sag_supported,0.6980725739388629,0.9972995430587523,0.6128950036422858,0.6960000000000001,1.056,0.357005489816249,0.10085658921919935,0.02568445333052205,0.02988026602202256,0.9918142678338223,0.6517430555216941,2.107229948101465,-0.002072573938862843,0.0587004569412477
distorted_sag,27,True,True,clean_sag_supported,81,2,0.9948149500177701,1,0.8050198719559202,clean_sag_supported,0.7667749278456497,1.2071145078755252,0.7377455992602936,0.777,1.246,0.23310505093539935,0.09157308946060029,0.024591714593570655,0.04099626762061959,0.9968561116120764,0.7511910007541757,1.0898013834275917,0.010225072154350312,0.038885492124474785
distorted_sag,28,True,True,distorted_sag_supported,81,-7,0.9889373731124257,1,0.8094165279905037,distorted_sag_supported,0.6186432417386296,1.1830852642872403,0.6748030866412177,0.608,1.243,0.31530891606497524,0.16728040380586254,0.03193903402217127,0.052720221192095275,0.9939167640147479,0.6848328288228247,1.6458965732660935,-0.010643241738629627,0.05991473571275985
distorted_sag,29,True,True,distorted_sag_supported,81,3,0.9869940892675668,1,0.6637022931936801,distorted_sag_supported,0.4938140794916818,0.8424589247366834,0.5898063728806038,0.493,0.886,0.3866289947962134,0.12212872247554113,0.03663833789686088,0.0549076924302702,0.9907395438200355,0.6407542249126699,3.208213283856496,-0.0008140794916818295,0.04354107526331663
distorted_sag,30,True,True,distorted_sag_supported,81,7,0.9826425624698288,1,0.6841398384494971,distorted_sag_supported,0.7524373713525638,1.3197455451325493,0.5889807578639601,0.708,1.345,0.3743962143475411,0.20872340493816283,0.04542375481537755,0.025875425050882823,0.9892125735072186,0.6196635266648982,2.624360424035983,-0.04443737135256387,0.025254454867450704
distorted_sag,31,True,True,clean_sag_supported,81,6,0.9943481148827623,1,0.87035509430635,clean_sag_supported,0.5897781649958233,1.0950577562171213,0.7643647874223306,0.598,1.1360000000000001,0.23326198975808365,0.1019649867414341,0.03934893400848561,0.04052140873468902,0.9966934156189923,0.7886575860295718,1.188956061916971,0.008221835004176725,0.04094224378287881
distorted_sag,32,True,True,distorted_sag_supported,81,-6,0.9822623912919037,1,0.6593484870237466,distorted_sag_supported,0.6904240758578173,1.1282546280489312,0.5552407751357563,0.6970000000000001,1.164,0.4045832631310685,0.16564958918411296,0.022495840730006062,0.025961993823328984,0.9848890182571257,0.6086075785980907,3.0778228111531996,0.006575924142182776,0.03574537195106875
distorted_sag,33,True,True,distorted_sag_supported,81,7,0.9787170683210626,1,0.6972685064789658,distorted_sag_supported,0.6174412646471557,1.165096496727857,0.5541660353540881,0.604,1.174,0.4124379423299579,0.20871107869850616,0.02769302862302381,0.022370418759415887,0.9875471982933884,0.601508370965026,2.7304032470629553,-0.01344126464715567,0.008903503272142954
distorted_sag,34,True,True,clean_sag_supported,81,-4,0.9949443745782235,1,0.870335840919249,clean_sag_supported,0.730922546084436,1.0864654101044473,0.7260226619361507,0.706,1.143,0.26309986377478123,0.0890767426060961,0.03847088152782007,0.040176207876029435,0.9964701189363807,0.737752393611717,1.0776886338482636,-0.024922546084436004,0.05653458989555271
distorted_sag,35,True,True,distorted_sag_supported,81,0,0.985163777637061,1,0.7361431992361442,distorted_sag_supported,0.5302105490867107,0.9368580267678118,0.5910042941708065,0.515,0.982,0.37075027318179565,0.14818554565051908,0.030382748915167495,0.054414759277607735,0.9916424968165627,0.6315867836322254,2.4460691034163413,-0.015210549086710712,0.04514197323218816
distorted_sag,36,True,True,distorted_sag_supported,81,-2,0.9858576405662247,1,0.734596544411166,distorted_sag_supported,0.7710689951220752,1.2929885375622816,0.6097917490174323,0.773,1.343,0.3740598882071431,0.17827490985175753,0.025640534590116868,0.04747657152388977,0.9902912495256456,0.6413455156716259,2.4140161417909742,0.0019310048779248579,0.05001146243771837
distorted_sag,37,True,True,distorted_sag_supported,81,2,0.9882368391240519,1,0.8244169376877304,distorted_sag_supported,0.6327201731263323,1.105392536317697,0.645707741646663,0.611,1.1500000000000001,0.33281029361523595,0.14510729495026964,0.03200643335282269,0.05062879186646507,0.9934219238303958,0.6959761545485509,1.9073824389759912,-0.021720173126332343,0.04460746368230306
